,COIN,PRICE,1H,24H,7D,24 H VOLUME ,MKT CAP,CIRCULATING SUPPLY,ATH,ATL,TRADING VOLUME,INITIAL RICE ($)
716,Oxen OXEN OXEN,$0.576732,0.7%,1.7%,-0.8%,"$788,120","$33,483,028","58,543,272 OXEN","58,543,272 OXEN","58,543,272 OXEN","58,543,272 OXEN",
628,Oxygen OXY OXY,$0.222037,-0.01,0.002,-0.119,"$412,730","$45,143,541","35,853,740 OXY",$4.14,$0.08,"9,999,999,999.18 OXY",
904,PAC Protocol PAC PAC,$0.001002948625,-0.8%,-2.7%,-14.6%,"$10,057.75","$16,554,068","16,656,717,187 PAC",$0.02,$0.00,"16,023,129,469.79 PAC",
752,PAID Network PAID PAID,$0.219612,2.6%,9.7%,5.2%,"$113,499","$29,735,299","83,070,175 PAID",$6.38,$0,"594,717,455.71 PAID",
968,Pallapay PALLA PALLA,$0.021206054007,0.2%,2.8%,-7.3%,"$331,778","$13,725,011","743,546,427 PALLA",$0.09,$0.01,"1,999,999,999 PALLA",
52,PancakeSwap CAKE CAKE,$8.19,-0.002,0.088,-0.106,"$393,419,586","$2,388,804,892","165,670,569 CAKE",$44.18,$0.00,"747,381,431.75 CAKE",
975,Pandacoin PND PND,$0.000389338418,-0.1%,2.4%,-1.3%,$155.49,"$13,487,499",,$0.04,$0.04,$0.04,
825,Panther Protocol ZKP ZKP,$0.166906,0.2%,-0.9%,-13.2%,"$33,418.50","$22,322,094","129,474,774 ZKP",$0.44,$0.06,"129,474,774 ZKP",
913,ParagonsDAO PDT PDT,$0.129357,0.9%,2.5%,-3.2%,"$56,721.10","$16,047,145","130,664,747 PDT",$0.51,$0.07,"162,500,000 PDT",
941,Paribus PBX PBX,$0.005381219893,2.2%,11.9%,-25.4%,"$715,320","$14,694,873","506,393,024 PBX",$0.04,$0,"10,000,000,000 PBX",
697,Paris Saint-Germain Fan Token PSG PSG,$11.29,0.01,0.038,-0.19,"$13,001,762","$35,081,917","3,111,216 PSG",$61.23,$2.77,"20,000,000 PSG",
998,Pastel PSL PSL,$0.004999988026,-6.5%,84.7%,107.4%,"$1,439,285","$12,569,387","12,490,245,521 PSL",$0.03,$0.00,0.00 PSL,
99,Pax Dollar USDP USDP,$0.999972,0,0,0.001,"$9,160,406","$1,018,288,780","945,642,940 USDP",$2.02,$0.87,"945,642,940.11 USDP",
133,PAX Gold PAXG PAXG,"$1,902.10",0.003,0.003,-0.03,"$12,980,578","$612,308,225","328,824 PAXG","$3,487.68","$1,387.98","328,823.72 PAXG",
489,PEAKDEFI PEAK PEAK,$0.052612423316,-0.1%,5.4%,-11.3%,"$195,734","$71,166,868",,$76.36,$15.00,"133,072.38 PEAK",
877,PearDAO PEX PEX,$0.357819,-2.8%,-16.0%,8.5%,"$205,769","$18,981,949","52,300,308 PEX",$0.76,$0.18,"1,000,000,000 PEX",
909,PearDAO PEX PEX,$0.311058,0.3%,3.0%,-38.4%,"$132,018","$16,382,412","52,300,308 PEX",$0.76,$0.18,"1,000,000,000 PEX",
996,Peercoin PPC PPC,$0.459842,0.4%,6.5%,-10.4%,"$10,331.03","$12,645,806","27,575,281 PPC",$13.66,$0.09,"27,575,280.69 PPC",
554,Peony Coin PNY PNY,$0.263354,-0.0%,-0.3%,-5.3%,"$235,962","$55,943,931","250,509,898 PNY",$1.39,$0.00,"249,442,097.81 PNY",
852,Permission Coin ASK ASK,$0.001260015671,0.0%,0.0%,-3.7%,"$346,730","$20,339,309","16,152,399,488 ASK",$0.02,$0.00,"100,000,000,000 ASK",
227,Perpetual Protocol PERP PERP,$3.67,0.006,-0.021,-0.206,"$11,040,394","$255,043,365","76,475,000 PERP",$24.84,$0.66,"150,000,000 PERP",
225,Persistence XPRT XPRT,$2.61,0.009,0.043,-0.107,"$2,446,009","$257,466,438","102,289,178 XPRT",$16.57,$1.11,"139,215,592.52 XPRT",
527,Phala Network PHA PHA,$0.262681,0.5%,-0.2%,-8.3%,"$4,104,535","$61,224,538","272,000,000 PHA",$1.41,$0.07,"1,000,000,000 PHA",
537,Phantasma SOUL SOUL,$0.552701,-20.9%,-15.9%,-36.0%,"$1,236,547","$59,101,598","105,345,281 SOUL",$3.97,$0.01,"105,220,281 SOUL",
590,Phoenix Global [OLD] PHB PHB,$0.915194,?,?,?,?,"$50,271,405","3,711,738,526 PHX",$1.31,$0.00,"3,711,738,526.06 PHX",
601,Phonon DAO PHONON PHONON,$0.008453530942,0.006,0.001,-0.103,"$157,346","$48,564,468","3,617,149,140 PHONON",$0.01,$0.00,"10,000,000,000 PHONON",
727,PinkSale PINKSALE PINKSALE,$322.72,-0.1%,0.8%,34.5%,"$51,248.65","$32,321,231",,$396.49,$52.16,0.00 PINKSALE,
208,Pirate Chain ARRR ARRR,$1.60,0,0.019,-0.099,"$1,273,331","$306,026,827","192,601,057 ARRR",$16.90,$0.01,"192,088,450.13 ARRR",
955,PIVX PIVX PIVX,$0.204645,1.3%,9.7%,-10.7%,"$440,364","$14,218,254","69,191,798 PIVX",$14.56,$0.00,"69,191,798.24 PIVX",
903,PKT PKT PKT,$0.004871378204,-1.6%,-18.2%,-19.7%,"$38,312.65","$16,556,726","3,347,942,066 PKT",$0.02,$0.00,"6,000,000,000 PKT",
678,Planet Finance AQUA AQUA,$389.38,-0.008,0.058,-0.117,"$161,994","$37,949,140","95,643 AQUA","$2,269.49",$33.69,"99,790.07 AQUA",
392,PlatON Network LAT LAT,$0.046166509820,0.7%,2.4%,-7.9%,"$3,977,975","$110,353,624","2,750,817,164 LAT",$0.89,$0.01,"10,250,000,000 LAT",
408,PlatonCoin PLTC PLTC,$0.919853,0.0%,4.3%,45.6%,"$781,533","$100,099,490","114,099,391 PLTC",$1.24,$0.03,"300,000,000 PLTC",
570,Platypus Finance PTP PTP,$1.76,2.6%,-5.3%,-36.6%,"$2,199,665","$52,889,710","19,479,300 PTP",$17.36,$0.20,"300,000,000 PTP",
210,PlayDapp PLA PLA,$0.840938,0,-0.002,-0.119,"$11,151,744","$303,542,994","362,829,427 PLA",$3.68,$0.10,"700,000,000 PLA",
942,Pluton PLU PLU,$8.03,3.6%,33.2%,5.8%,"$3,764,535","$14,674,552","1,852,000 PLU",$110.89,$0.01,"20,000,000 PLU",
155,Pocket Network POKT POKT,$0.495938,0.031,-0.045,-0.241,"$1,430,824","$507,507,010",,$0.00,$0.00,$0.00,
10,Polkadot DOT DOT,$17.18,0.01,0.012,-0.1,"$471,022,151","$19,070,018,509","987,579,315 DOT",$55.00,$2.69,"1,103,303,471.38 DOT",
959,PolkaFoundry PKF PKF,$0.339622,0.7%,-2.2%,-12.4%,"$773,759","$14,032,480","41,301,078 PKF",$2.92,$0.13,"200,000,000 PKF",
983,Polkamarkets POLK POLK,$0.182059,9.0%,7.1%,-5.6%,"$3,886,805","$13,187,522","78,735,664 POLK",$4.15,$0.05,"100,000,000 POLK",
387,Polkastarter POLS POLS,$1.20,0.4%,1.0%,-10.4%,"$5,258,950","$112,255,543","93,221,432 POLS",$7.51,$0.00,"100,000,000 POLS",
820,Polkaswap PSWAP PSWAP,$0.006300537179,0.3%,1.9%,-11.2%,"$16,605.00","$22,992,846","3,645,542,376 PSWAP",$14.43,$0.00,"1,392,620.39 PSWAP",
20,Polygon MATIC MATIC,$1.25,0.003,-0.004,-0.115,"$438,703,218","$8,646,294,507","7,956,181,045 MATIC",$2.92,$0.00,"10,000,000,000 MATIC",
186,Polymath POLY POLY,$0.395406,0.006,0.006,-0.068,"$28,011,900","$354,744,794","898,560,830 POLY",$1.66,$0.01,"1,000,000,000 POLY",
356,Poollotto.finance PLT PLT,$12.05,1.1%,0.5%,8.7%,"$51,589.95","$127,986,198","8,260,012 PLT",$20.54,$5.96,"19,272,000 PLT",
861,Popcorn POP POP,$0.953228,-0.0%,-0.4%,-4.8%,$814.70,"$19,909,344","8,443,730 POP",$3.00,$0.86,"99,999,700 POP",
812,Popsicle Finance ICE ICE,$1.75,-0.1%,-3.9%,-16.9%,"$507,066","$23,751,313","12,909,630 ICE",$66.81,$0.41,"11,248,229.1 ICE",
733,Position Token POSI POSI,$0.570715,0.5%,-9.3%,-33.8%,"$53,977,739","$31,893,827","61,273,113 POSI",$7.89,$0.29,"71,700,000 POSI",
266,Power Ledger POWR POWR,$0.478763,0,-0.001,-0.071,"$12,856,498","$205,424,547","485,339,140 POWR",$2.01,$0.03,"999,506,123 POWR",
863,PowerPool Concentrated Voting Power CVP CVP,$0.740920,0.2%,2.8%,-4.9%,"$8,308,602","$19,872,343",,,,,
921,Premia PREMIA PREMIA,$1.48,0.3%,1.7%,-6.2%,"$528,006","$15,703,596",0 PREMIA,$22.70,$0.33,"100,000,000 PREMIA",
529,Presearch PRE PRE,$0.152814,-0.0%,6.5%,-15.7%,"$851,579","$60,785,323","396,578,435 PRE",$1.40,$0.00,"500,000,000 PRE",
336,Prometeus PROM PROM,$8.43,-6.1%,7.9%,-7.5%,"$4,366,494","$138,753,665","16,450,000 PROM",$106.12,$0.10,"19,250,000 PROM",
376,Propy PRO PRO,$1.99,-4.5%,19.7%,7.0%,"$7,716,208","$115,316,336","5,395,660 PRO",$5.51,$0.36,"5,395,660.2 PRO",
426,Proton XPR XPR,$0.008354302816,2.6%,0.8%,-22.5%,"$2,120,693","$90,411,074","12,315,131,398 XPR",$0.10,$0.00,"12,428,594,195.92 XPR",
843,Pundi X [OLD] NPXS NPXS,$0.000088739799,0.0%,1.4%,-89.9%,$0.000000000000,"$20,988,674",0 NPXS,$0.77,$0,"258,498,693,019.07 NPXS",
495,Pylon Protocol MINE MINE,$0.033035054410,0.4%,-0.6%,-4.4%,"$204,197","$69,830,334","600,859,554 MINE",$0.24,$0.00,0.00 MINE,
